category,service,quantity,cost,sale_price,creation_date,doctor
Clinic,اعطاء علاجات,3.0,0,150.0,2026-07-18,NA
Labs mojo,cbc mojo ,1.0,200,500.0,2026-07-18,NA
Labs,blood parasities,1.0,0,450.0,2026-07-18,NA
Clinic,كشف,1.0,0,450.0,2026-07-18,NA
Clinic,تركيب كانولا,1.0,0,150.0,2026-07-18,NA
Clinic,تركيب كانولا,1.0,0,250.0,2026-07-18,NA
Supplies,soft can,1.0,35,135.0,2026-07-18,NA
Clinic,اعطاء علاجات,1.0,0,50.0,2026-07-18,NA
Grooming,قص أظافر ,1.0,0,50.0,2026-07-17,NA
Grooming,حلاقة  قطط ,1.0,0,250.0,2026-07-17,NA
Clinic,كشف,1.0,0,300.0,2026-07-17,NA
Grooming,استحمام قطط,1.0,0,300.0,2026-07-17,NA
Grooming,قص أظافر ,1.0,0,50.0,2026-07-17,NA
Grooming,باكيدج جروميج قطط ,1.0,0,400.0,2026-07-17,NA
Grooming,استحمام كلاب متوسطه ,1.0,0,350.0,2026-07-17,NA
Clinic,كشف,1.0,0,450.0,2026-07-17,NA
Clinic,اعطاء علاجات,1.0,0,250.0,2026-07-17,NA
Labs mojo,سونار,1.0,0,400.0,2026-07-17,NA
Clinic,اعطاء علاجات,1.0,0,250.0,2026-07-17,NA
Clinic,تخدير,1.0,0,200.0,2026-07-17,NA
Clinic,اعطاء علاجات,1.0,0,400.0,2026-07-17,NA
Surgeries,عمليه صغرى,1.0,0,1500.0,2026-07-17,NA
Supplies,كولر,1.0,0,150.0,2026-07-17,NA
Labs External,AST - GOT 150,1.0,65,200.0,2026-07-17, GOT 150
Grooming,استحمام كلاب كبيره,1.0,0,400.0,2026-07-17,NA
Labs External,ALT - GPT LIVER SCAN,1.0,65,200.0,2026-07-17, GPT LIVER SCAN
Labs External,Alkaline Phosphatase LIVER SCAN,1.0,65,200.0,2026-07-17,NA
Labs mojo,سونار,1.0,0,400.0,2026-07-17,NA
Clinic,كشف,1.0,0,300.0,2026-07-17,NA
Clinic,اعطاء علاجات,2.0,0,100.0,2026-07-17,NA
Labs External,H. pylori Antigen,1.0,100,250.0,2026-07-16,NA
Labs External,Fecal CULTURE & SENSITIVITY,1.0,200,450.0,2026-07-16,NA
Clinic,كشف,1.0,0,300.0,2026-07-16,NA
Supplies,انتقالات,1.0,0,150.0,2026-07-16,NA
Clinic,اعطاء علاجات,6.0,0,300.0,2026-07-16,NA
Labs mojo,سونار,1.0,0,400.0,2026-07-16,NA
Grooming,باكديج جروميج كلاب ,1.0,0,600.0,2026-07-16,NA
Grooming,حلاقة  كلاب,1.0,0,350.0,2026-07-16,NA
Supplies,انتقالات,1.0,0,150.0,2026-07-16,NA
Grooming,حلاقة  كلاب,1.0,0,350.0,2026-07-16,NA
Clinic,اعطاء علاجات,3.0,0,150.0,2026-07-16,NA
Supplies,انتقالات,1.0,0,300.0,2026-07-16,NA
Grooming,حلاقة  قطط ,1.0,0,150.0,2026-07-16,NA
Clinic,اعطاء علاجات,3.0,0,150.0,2026-07-16,NA
Clinic,خدمة محاليل,1.0,0,150.0,2026-07-16,NA
Clinic,اعطاء علاجات,4.0,0,200.0,2026-07-16,NA
Supplies,soft can,1.0,35,550.0,2026-07-16,NA
Clinic,خدمة محاليل+ محاليل من داخل العيادة,1.0,0,200.0,2026-07-16,NA
Clinic,تركيب كانولا,1.0,0,150.0,2026-07-16,NA
Grooming,باكديج جروميج كلاب ,1.0,0,600.0,2026-07-16,NA
Clinic,اعطاء علاجات,3.0,0,150.0,2026-07-15,NA
Clinic,كشف,1.0,0,300.0,2026-07-15,NA
Clinic,اعطاء علاجات,2.0,0,100.0,2026-07-15,NA
Labs mojo,اشعة,1.0,0,400.0,2026-07-15,NA
Clinic,كشف,1.0,0,300.0,2026-07-15,NA
Clinic,تركيب كانولا,1.0,0,100.0,2026-07-15,NA
Labs mojo,سونار,1.0,0,400.0,2026-07-15,NA
Clinic,خدمة محاليل+ محاليل من داخل العيادة,1.0,0,200.0,2026-07-15,NA
Grooming,استحمام كلاب صغيرة,1.0,0,250.0,2026-07-15,NA
Supplies,كولر,1.0,0,250.0,2026-07-15,NA
Surgeries,تعقيم قطط اناث,1.0,0,2000.0,2026-07-15,NA
Clinic,خدمة محاليل,1.0,0,100.0,2026-07-15,NA
Clinic,اعطاء علاجات,2.0,0,100.0,2026-07-15,NA
Grooming,حلاقة  قطط ,1.0,0,300.0,2026-07-15,NA
Labs mojo,اشعة,1.0,0,400.0,2026-07-15,NA
Clinic,تركيب كانولا,1.0,0,150.0,2026-07-15,NA
Clinic,خدمة محاليل,1.0,0,150.0,2026-07-15,NA
Clinic,اعطاء علاجات,1.0,0,100.0,2026-07-15,NA
Clinic,تركيب كانولا,1.0,0,150.0,2026-07-15,NA
Clinic,اعطاء علاجات,2.0,0,100.0,2026-07-15,NA
Clinic,خدمة محاليل,1.0,0,250.0,2026-07-15,NA
Clinic,كشف,1.0,0,450.0,2026-07-15,NA
Clinic,خدمة محاليل,1.0,0,150.0,2026-07-15,NA
Clinic,كشف,1.0,0,450.0,2026-07-15,NA
Labs mojo,سونار,1.0,0,400.0,2026-07-15,NA
Clinic,كشف,1.0,0,450.0,2026-07-15,NA
Clinic,اعطاء علاجات,4.0,0,200.0,2026-07-15,NA
Labs mojo,اختبار بارفو,1.0,0,700.0,2026-07-15,NA
Grooming,قص أظافر ,2.0,0,100.0,2026-07-15,NA
Clinic,كشف,1.0,0,300.0,2026-07-15,NA
Clinic,كشف,1.0,0,300.0,2026-07-15,NA
Clinic,كشف,1.0,0,300.0,2026-07-15,NA
Grooming,قص أظافر ,1.0,0,70.0,2026-07-15,NA
Labs External,Toxoplasma IgM-(Acute),1.0,250,550.0,2026-07-15,(Acute)
Surgeries,تنظيف اسنان كلب صغير + تخدير,1.0,0,1400.0,2026-07-15,NA
Labs External,Skin Scrapping,1.0,200,400.0,2026-07-14,NA
Clinic,اعطاء علاجات,2.0,0,100.0,2026-07-14,NA
Clinic,كشف,1.0,0,300.0,2026-07-14,NA
Grooming,استحمام قطط,1.0,0,350.0,2026-07-14,NA
Clinic,اعطاء علاجات,1.0,0,50.0,2026-07-14,NA
Labs,culture,1.0,0,400.0,2026-07-14,NA
Clinic,كشف,1.0,0,300.0,2026-07-14,NA
Labs mojo,اشعة,2.0,0,800.0,2026-07-14,NA
Supplies,انتقالات,1.0,0,200.0,2026-07-14,NA
Grooming,باكديج جروميج كلاب ,1.0,0,600.0,2026-07-14,NA
Clinic,خدمة محاليل+ محاليل من داخل العيادة,1.0,0,200.0,2026-07-14,NA
Surgeries,ولاده قيصريه قطط+استئصال رحم,1.0,0,6500.0,2026-07-14,NA
Labs External,Tissue Histology,1.0,500,1200.0,2026-07-14,NA
Clinic,كشف,1.0,0,450.0,2026-07-14,NA
Clinic,اعطاء علاجات,2.0,0,100.0,2026-07-14,NA
Clinic,اعطاء علاجات,2.0,0,100.0,2026-07-13,NA
Clinic,كشف,1.0,0,300.0,2026-07-13,NA
Clinic,اعطاء علاجات,1.0,0,50.0,2026-07-13,NA
Grooming,قص أظافر ,2.0,0,90.0,2026-07-13,NA
Clinic,كشف,1.0,0,450.0,2026-07-13,NA
Grooming,تنظيف اذن,1.0,0,150.0,2026-07-13,NA
Clinic,كشف,1.0,0,450.0,2026-07-13,NA
Labs mojo,cbc mojo ,1.0,200,500.0,2026-07-13,NA
Grooming,تنظيف اذن,1.0,0,100.0,2026-07-13,NA
Clinic,كشف,1.0,0,300.0,2026-07-13,NA
Grooming,حلاقة  كلاب,1.0,0,350.0,2026-07-13,NA
Clinic,tips,1.0,0,150.0,2026-07-13,NA
Grooming,استحمام كلاب صغيرة,1.0,0,300.0,2026-07-13,NA
Clinic,كشف,1.0,0,300.0,2026-07-13,NA
Clinic,اعطاء علاجات,1.0,0,100.0,2026-07-13,NA
Surgeries,غسيل مثانة ,1.0,0,200.0,2026-07-13,NA
Clinic,خدمة محاليل,1.0,0,100.0,2026-07-13,NA
Clinic,كشف,1.0,0,300.0,2026-07-12,NA
Clinic,اعطاء علاجات,2.0,0,100.0,2026-07-12,NA
Clinic,كشف,1.0,0,450.0,2026-07-12,NA
Clinic,اعطاء علاجات,1.0,0,150.0,2026-07-12,NA
Clinic,اعطاء علاجات,1.0,0,150.0,2026-07-12,NA
Clinic,اعطاء علاجات,3.0,0,150.0,2026-07-11,NA
Clinic,كشف,1.0,0,450.0,2026-07-11,NA
Clinic,تركيب كانولا,1.0,0,150.0,2026-07-11,NA
Clinic,كشف,1.0,0,450.0,2026-07-11,NA
Labs mojo,سونار,1.0,0,400.0,2026-07-11,NA
Labs mojo,اشعة,1.0,0,400.0,2026-07-11,NA
